date,Asset_A,Asset_B,Asset_C,Asset_D,Asset_A_lag_1,Asset_A_lag_5,Asset_A_lag_20,Asset_B_lag_1,Asset_B_lag_5,Asset_B_lag_20,Asset_C_lag_1,Asset_C_lag_5,Asset_C_lag_20,Asset_D_lag_1,Asset_D_lag_5,Asset_D_lag_20,Asset_A_rolling_mean_5,Asset_A_rolling_std_5,Asset_A_rolling_mean_20,Asset_A_rolling_std_20,Asset_B_rolling_mean_5,Asset_B_rolling_std_5,Asset_B_rolling_mean_20,Asset_B_rolling_std_20,Asset_C_rolling_mean_5,Asset_C_rolling_std_5,Asset_C_rolling_mean_20,Asset_C_rolling_std_20,Asset_D_rolling_mean_5,Asset_D_rolling_std_5,Asset_D_rolling_mean_20,Asset_D_rolling_std_20
2024-01-01,1.6932409678851779,2.0311267327944207,2.188997734629446,2.2390879384553313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02,1.5616453725791752,1.8665775292711622,2.5758674313317496,2.5406073665158666,1.6932409678851779,,,2.0311267327944207,,,2.188997734629446,,,2.2390879384553313,,,,,,,,,,,,,,,,,,
2024-01-03,1.303328092904425,1.8762568941842999,2.3414009484818723,2.2070114035552764,1.5616453725791752,,,1.8665775292711622,,,2.5758674313317496,,,2.5406073665158666,,,,,,,,,,,,,,,,,,
2024-01-04,1.4397975991476895,1.3438918239619946,1.7640272344640375,1.7194480730744062,1.303328092904425,,,1.8762568941842999,,,2.3414009484818723,,,2.2070114035552764,,,,,,,,,,,,,,,,,,
2024-01-05,0.8792978413628525,1.0825489713074141,1.2364776480517994,0.7828132539927453,1.4397975991476895,,,1.3438918239619946,,,1.7640272344640375,,,1.7194480730744062,,,1.375461974775864,0.3127175094401477,,,1.6400803903038583,0.4057605472814742,,,2.021354199391781,0.5292134655856968,,,1.8977936071187251,0.6892559961430063,,
2024-01-06,1.678619235073399,1.5374791222246522,1.6438631620034656,0.840551016812841,0.8792978413628525,1.6932409678851779,,1.0825489713074141,2.0311267327944207,,1.2364776480517994,2.188997734629446,,0.7828132539927453,2.2390879384553313,,1.3725376282135084,0.3090497693888679,,,1.5413508681899046,0.34184743397918477,,,1.9123272848665849,0.5420397486753155,,,1.618086222790227,0.7922111907173326,,
2024-01-07,1.3764367569633122,1.372929918701394,1.1632068721612112,0.6673377283525356,1.678619235073399,1.5616453725791752,,1.5374791222246522,1.8665775292711622,,1.6438631620034656,2.5758674313317496,,0.840551016812841,2.5406073665158666,,1.3354959050903357,0.29130742258116166,,,1.442621346075951,0.29210200056526164,,,1.6297951730324773,0.4735510142132656,,,1.243432295157561,0.6821737121864297,,
2024-01-08,1.0498847241669367,1.0631902414811456,0.8027146547795203,0.9752724633930855,1.3764367569633122,1.303328092904425,,1.372929918701394,1.8762568941842999,,1.1632068721612112,2.3414009484818723,,0.6673377283525356,2.2070114035552764,,1.2848072313428378,0.31903460944690126,,,1.2800080155353202,0.2031052763594144,,,1.3220579142920068,0.38767594527672156,,,0.9970845071251228,0.41875790389015216,,
2024-01-09,1.0401369022924127,0.7244124695214978,0.9668411927744385,0.5069550538522505,1.0498847241669367,1.4397975991476895,,1.0631902414811456,1.3438918239619946,,0.8027146547795203,1.7640272344640375,,0.9752724633930855,1.7194480730744062,,1.2048750919717826,0.3205573854175484,,,1.156112144647221,0.31339326284870694,,,1.1626207059540872,0.3181632742964746,,,0.7545859032806914,0.17735742407917693,,
2024-01-10,1.1571107647866434,0.18236803438606852,0.5096315512171675,0.31449584445191014,1.0401369022924127,0.8792978413628525,,0.7244124695214978,1.0825489713074141,,0.9668411927744385,1.2364776480517994,,0.5069550538522505,0.7828132539927453,,1.2604376766565408,0.27012637326632083,,,0.9760759572629517,0.5416553924666904,,,1.0172514865871605,0.42432016657692545,,,0.6609224213725244,0.2621263344457666,,
