date,Market_Index,Risk_Free_Rate,Volatility_Index,Sector_A,Sector_B,Sector_C,Correlation_AB,Correlation_AC,Correlation_BC
2024-01-01,0.9493377031271332,0.0,0.565217391304348,1.0,1.0,0.8947368421052635,0.85,0.78,0.72
2024-01-02,1.0,0.0,0.391304347826087,0.9374999999999992,0.9090909090909094,1.0,0.86,0.79,0.73
2024-01-03,0.9322681960944963,0.05000000000000139,0.782608695652174,0.8750000000000006,1.0,0.9473684210526307,0.86,0.79,0.73
2024-01-04,0.8283490372798027,0.05000000000000139,0.91304347826087,0.9374999999999992,0.8181818181818188,0.7894736842105269,0.87,0.8,0.74
2024-01-05,0.6618872046975286,0.09999999999999931,1.0,0.7500000000000011,0.7272727272727265,0.6842105263157885,0.88,0.8,0.75
2024-01-06,0.7999453775774944,0.09999999999999931,0.13043478260869593,1.0,0.8181818181818188,0.7368421052631577,0.88,0.81,0.75
2024-01-07,0.6964358869315852,0.1500000000000007,0.91304347826087,0.8750000000000006,0.8181818181818188,0.6315789473684211,0.89,0.81,0.76
2024-01-08,0.623651508944421,0.1500000000000007,0.782608695652174,0.8124999999999998,0.7272727272727265,0.578947368421052,0.89,0.82,0.76
2024-01-09,0.6162774819063224,0.2000000000000021,0.608695652173913,0.8124999999999998,0.6363636363636359,0.578947368421052,0.9,0.82,0.77
2024-01-10,0.5395329782875868,0.2000000000000021,0.826086956521739,0.8124999999999998,0.4545454545454547,0.4736842105263154,0.91,0.83,0.78
2024-01-11,0.6143656971186672,0.25,0.3043478260869569,0.9374999999999992,0.5454545454545453,0.5263157894736846,0.91,0.83,0.78
2024-01-12,0.4306978014474936,0.25,1.0,0.6875000000000002,0.3636363636363641,0.36842105263157887,0.92,0.84,0.79
2024-01-13,0.43738904820428737,0.3000000000000014,0.5217391304347829,0.7500000000000011,0.18181818181818124,0.4210526315789462,0.93,0.84,0.8
2024-01-14,0.4352041513041103,0.3000000000000014,0.565217391304348,0.6249999999999994,0.18181818181818124,0.4210526315789462,0.93,0.85,0.8
2024-01-15,0.3658336747234734,0.3499999999999993,0.782608695652174,0.5,0.09090909090909062,0.4210526315789462,0.94,0.85,0.81
2024-01-16,0.24593745732623223,0.3499999999999993,0.9565217391304349,0.4375000000000014,0.0,0.3157894736842096,0.95,0.86,0.82
